lon,lat,vs30,z1pt0,z2pt5,vs30measured,ampcode
-76.6,3.3072,970.7917,9.6128,0.4586,1,noaf
-76.6,3.3139,934.0349,12.2736,0.4793,1,noaf
-76.6,3.3207,766.8852,39.3269,0.6006,1,noaf
-76.6,3.3274,799.9272,31.0862,0.5723,1,noaf
-76.6,3.3342,604.12,122.4763,0.7891,1,noaf
-76.6,3.3409,353.3491,409.6188,1.4574,1,noaf
-76.6,3.3476,742.3974,46.8348,0.6233,1,noaf
-76.6,3.3544,793.3807,32.5654,0.5777,1,noaf
-76.6,3.3611,781.1844,35.5168,0.588,1,noaf
-76.6,3.3679,822.9991,26.4039,0.554,1,noaf
-76.6,3.3746,830.1885,25.0998,0.5485,1,noaf
-76.6,3.3814,664.3063,81.3747,0.7078,1,noaf
-76.6,3.3881,694.5635,65.8047,0.6727,1,noaf
-76.6,3.3949,445.7686,297.4434,1.1172,1,noaf
-76.6,3.4016,602.5227,123.7695,0.7915,1,noaf
-76.6,3.4084,926.8952,12.8777,0.4835,1,noaf
-76.6,3.4151,1018.2407,7.0668,0.4342,1,noaf
-76.6,3.4219,1004.22,7.7322,0.4412,1,noaf
-76.6,3.4286,696.7648,64.7886,0.6702,1,noaf
-76.6,3.4353,579.3897,143.7283,0.8277,1,noaf
-76.6,3.4421,628.8974,103.7953,0.7536,1,noaf
-76.6,3.4488,408.6044,345.009,1.2342,1,noaf
-76.6,3.4556,531.4747,192.2785,0.9136,1,noaf
-76.6,3.4623,600.0162,125.8207,0.7952,1,noaf
-76.6,3.4691,1083.7288,4.6908,0.4044,1,noaf
-76.6,3.4758,740.7281,47.3958,0.6249,1,noaf
-76.6,3.4825,1073.1865,5.0048,0.4089,1,noaf
-76.6,3.4893,754.1635,43.0632,0.6122,1,noaf
-76.6,3.496,610.7995,117.1866,0.7792,1,noaf
-76.6,3.5028,616.7375,112.6425,0.7706,1,noaf
-76.6,3.5095,770.9523,38.2028,0.597,1,noaf
-76.6,3.5163,703.8446,61.621,0.6625,1,noaf
-76.6,3.523,439.205,305.9231,1.1363,1,noaf
-76.5932,3.3072,943.3338,11.5323,0.4739,1,noaf
-76.5932,3.3139,963.9658,10.0551,0.4623,1,noaf
-76.5932,3.3207,830.3829,25.0655,0.5484,1,noaf
-76.5932,3.3274,802.5966,30.5031,0.5701,1,noaf
-76.5932,3.3342,418.7016,332.248,1.2002,1,noaf
-76.5932,3.3409,338.195,425.1219,1.5323,1,noaf
-76.5932,3.3476,406.8403,347.2183,1.2403,1,noaf
-76.5932,3.3544,640.1464,96.1462,0.7385,1,noaf
-76.5932,3.3611,514.2975,211.856,0.9486,1,noaf
-76.5932,3.3679,882.1498,17.4736,0.5117,1,noaf
-76.5932,3.3746,980.1762,9.0389,0.4536,1,noaf
-76.5932,3.3814,885.8084,17.0387,0.5093,1,noaf
-76.5932,3.3881,805.8035,29.8174,0.5675,1,noaf
-76.5932,3.3949,414.3394,337.7835,1.2147,1,noaf
-76.5932,3.4016,544.5471,178.1058,0.8886,1,noaf
-76.5932,3.4084,882.3795,17.4459,0.5115,1,noaf
-76.5932,3.4151,947.4142,11.2224,0.4716,1,noaf
-76.5932,3.4219,1010.9348,7.4053,0.4378,1,noaf
-76.5932,3.4286,1022.2128,6.8899,0.4323,1,noaf
-76.5932,3.4353,941.7021,11.6588,0.4749,1,noaf
-76.5932,3.4421,596.4932,128.7494,0.8006,1,noaf
-76.5932,3.4488,606.1299,120.8647,0.7861,1,noaf
-76.5932,3.4556,575.3416,147.4584,0.8344,1,noaf
-76.5932,3.4623,469.4231,267.0176,1.053,1,noaf
-76.5932,3.4691,1026.712,6.6954,0.4301,1,noaf
-76.5932,3.4758,1058.2557,5.4901,0.4155,1,noaf
-76.5932,3.4825,741.6396,47.0887,0.624,1,noaf
-76.5932,3.4893,974.918,9.3557,0.4564,1,noaf
-76.5932,3.496,999.5109,7.9709,0.4436,1,noaf
-76.5932,3.5028,864.1895,19.7868,0.5239,1,noaf
-76.5932,3.5095,850.9418,21.7003,0.5332,1,noaf
-76.5932,3.5163,938.1712,11.9377,0.4769,1,noaf
-76.5932,3.523,949.5595,11.0632,0.4704,1,noaf
-76.5865,3.3072,874.0771,18.4756,0.5171,1,noaf
-76.5865,3.3139,914.7023,13.9849,0.4909,1,noaf
-76.5865,3.3207,927.3228,12.8407,0.4833,1,noaf
-76.5865,3.3274,650.6379,89.4609,0.7249,1,noaf
-76.5865,3.3342,345.4866,417.8047,1.4954,1,noaf
-76.5865,3.3409,334.2747,428.9427,1.5529,1,noaf
-76.5865,3.3476,319.0048,443.0413,1.6382,1,noaf
-76.5865,3.3544,569.231,153.2222,0.8446,1,noaf
-76.5865,3.3611,402.2802,352.8965,1.2564,1,noaf
-76.5865,3.3679,700.8408,62.9465,0.6658,1,noaf
-76.5865,3.3746,636.3148,98.6949,0.7436,1,noaf
-76.5865,3.3814,461.6763,276.9332,1.0733,1,noaf
-76.5865,3.3881,419.1862,331.6312,1.1986,1,noaf
-76.5865,3.3949,338.4949,424.8262,1.5308,1,noaf
-76.5865,3.4016,794.1349,32.3914,0.5771,1,noaf
-76.5865,3.4084,745.8241,45.7036,0.62,1,noaf
-76.5865,3.4151,768.1895,38.9629,0.5994,1,noaf
-76.5865,3.4219,896.3657,15.8473,0.5024,1,noaf
-76.5865,3.4286,676.1187,74.9285,0.6937,1,noaf
-76.5865,3.4353,832.7518,24.6512,0.5466,1,noaf
-76.5865,3.4421,925.6967,12.9823,0.4843,1,noaf
-76.5865,3.4488,882.0779,17.4822,0.5117,1,noaf
-76.5865,3.4556,800.0,31.0701,0.5722,1,1
-76.5865,3.4623,800.0,31.0701,0.5722,1,1
-76.5865,3.4691,638.7812,97.0477,0.7403,1,noaf
-76.5865,3.4758,638.7023,97.0999,0.7404,1,noaf
-76.5865,3.4825,650.7734,89.3773,0.7247,1,noaf
-76.5865,3.4893,866.9296,19.4139,0.522,1,noaf
-76.5865,3.496,962.5828,10.1474,0.4631,1,noaf
-76.5865,3.5028,630.9391,102.3692,0.7508,1,noaf
-76.5865,3.5095,403.1518,351.815,1.2533,1,noaf
-76.5865,3.5163,446.5267,296.4638,1.115,1,noaf
-76.5865,3.523,478.7927,255.135,1.0295,1,noaf
-76.5797,3.3072,492.2158,238.3983,0.9974,1,noaf
-76.5797,3.3139,450.5176,291.3085,1.1037,1,noaf
-76.5797,3.3207,448.0588,294.4843,1.1107,1,noaf
-76.5797,3.3274,344.6646,418.643,1.4994,1,noaf
-76.5797,3.3342,344.172,419.1438,1.5019,1,noaf
-76.5797,3.3409,362.815,399.378,1.4139,1,noaf
-76.5797,3.3476,344.1711,419.1447,1.5019,1,noaf
-76.5797,3.3544,502.2045,226.2202,0.9748,1,noaf
-76.5797,3.3611,671.4904,77.3961,0.6992,1,noaf
-76.5797,3.3679,734.2578,49.6342,0.6312,1,noaf
-76.5797,3.3746,428.9522,319.1352,1.1674,1,noaf
-76.5797,3.3814,348.5659,414.6346,1.4803,1,noaf
-76.5797,3.3881,341.6267,421.7118,1.5147,1,noaf
-76.5797,3.3949,328.0056,434.8839,1.5869,1,noaf
-76.5797,3.4016,626.0082,105.8423,0.7576,1,noaf
-76.5797,3.4084,800.0,31.0701,0.5722,1,2
-76.5797,3.4151,800.0,31.0701,0.5722,1,2
-76.5797,3.4219,800.0,31.0701,0.5722,1,2
-76.5797,3.4286,320.9818,441.2878,1.6267,1,noaf
-76.5797,3.4353,348.123,415.0934,1.4824,1,noaf
-76.5797,3.4421,497.4002,232.0448,0.9856,1,noaf
-76.5797,3.4488,648.7766,90.616,0.7272,1,noaf
-76.5797,3.4556,800.0,31.0701,0.5722,1,2
-76.5797,3.4623,368.8903,392.5971,1.3873,1,noaf
-76.5797,3.4691,757.3941,42.0818,0.6092,1,noaf
-76.5797,3.4758,837.8587,23.7824,0.5428,1,noaf
-76.5797,3.4825,774.1732,37.3358,0.5941,1,noaf
-76.5797,3.4893,647.7898,91.2338,0.7285,1,noaf
-76.5797,3.496,689.6096,68.1469,0.6782,1,noaf
-76.5797,3.5028,778.8144,36.1214,0.5901,1,noaf
-76.5797,3.5095,787.377,33.9855,0.5827,1,noaf
-76.5797,3.5163,820.0898,26.9516,0.5562,1,noaf
-76.5797,3.523,715.7831,56.6133,0.6499,1,noaf
-76.573,3.3072,345.8636,417.4191,1.4935,1,noaf
-76.573,3.3139,350.4666,412.6547,1.4711,1,noaf
-76.573,3.3207,343.2495,420.0784,1.5065,1,noaf
-76.573,3.3274,332.6619,430.4912,1.5615,1,noaf
-76.573,3.3342,340.3438,422.9936,1.5212,1,noaf
-76.573,3.3409,340.1234,423.213,1.5224,1,noaf
-76.573,3.3476,332.6558,430.497,1.5615,1,noaf
-76.573,3.3544,340.4131,422.9246,1.5209,1,noaf
-76.573,3.3611,363.5278,398.5906,1.4108,1,noaf
-76.573,3.3679,404.6285,349.9785,1.2481,1,noaf
-76.573,3.3746,414.6492,337.3915,1.2136,1,noaf
-76.573,3.3814,374.8767,385.7668,1.362,1,noaf
-76.573,3.3881,338.871,424.4549,1.5288,1,noaf
-76.573,3.3949,344.8615,418.4426,1.4985,1,noaf
-76.573,3.4016,800.0,31.0701,0.5722,1,2
-76.573,3.4084,800.0,31.0701,0.5722,1,2
-76.573,3.4151,800.0,31.0701,0.5722,1,2
-76.573,3.4219,800.0,31.0701,0.5722,1,2
-76.573,3.4286,472.5243,263.0695,1.0451,1,noaf
-76.573,3.4353,454.7424,285.8569,1.092,1,noaf
-76.573,3.4421,456.0429,284.1806,1.0885,1,noaf
-76.573,3.4488,346.8374,416.4199,1.4887,1,noaf
-76.573,3.4556,800.0,31.0701,0.5722,1,1
-76.573,3.4623,527.4504,196.7717,0.9216,1,noaf
-76.573,3.4691,852.5942,21.4513,0.532,1,noaf
-76.573,3.4758,692.4289,66.8044,0.675,1,noaf
-76.573,3.4825,886.1232,17.0018,0.5091,1,noaf
-76.573,3.4893,633.1637,100.8346,0.7478,1,noaf
-76.573,3.496,497.7966,231.5618,0.9847,1,noaf
-76.573,3.5028,672.6597,76.7657,0.6978,1,noaf
-76.573,3.5095,717.3889,55.9705,0.6482,1,noaf
-76.573,3.5163,709.7556,59.0904,0.6562,1,noaf
-76.573,3.523,453.8581,286.9973,1.0945,1,noaf
-76.5662,3.3072,325.2879,437.3937,1.6021,1,noaf
-76.5662,3.3139,350.7891,412.3169,1.4695,1,noaf
-76.5662,3.3207,342.2133,421.1228,1.5117,1,noaf
-76.5662,3.3274,340.0582,423.2779,1.5227,1,noaf
-76.5662,3.3342,341.7735,421.5646,1.514,1,noaf
-76.5662,3.3409,336.7415,426.5478,1.5399,1,noaf
-76.5662,3.3476,324.3254,438.2729,1.6075,1,noaf
-76.5662,3.3544,336.6281,426.6586,1.5405,1,noaf
-76.5662,3.3611,348.0678,415.1505,1.4827,1,noaf
-76.5662,3.3679,338.6783,424.6452,1.5298,1,noaf
-76.5662,3.3746,336.1688,427.1067,1.5429,1,noaf
-76.5662,3.3814,335.0928,428.152,1.5485,1,noaf
-76.5662,3.3881,344.1175,419.1991,1.5022,1,noaf
-76.5662,3.3949,437.3582,308.3073,1.1418,1,noaf
-76.5662,3.4016,349.1799,413.9968,1.4773,1,noaf
-76.5662,3.4084,800.0,31.0701,0.5722,1,2
-76.5662,3.4151,800.0,31.0701,0.5722,1,2
-76.5662,3.4219,800.0,31.0701,0.5722,1,2
-76.5662,3.4286,800.0,31.0701,0.5722,1,2
-76.5662,3.4353,410.6761,342.4064,1.2271,1,noaf
-76.5662,3.4421,686.2319,69.7887,0.682,1,noaf
-76.5662,3.4488,638.3278,97.3487,0.7409,1,noaf
-76.5662,3.4556,800.0,31.0701,0.5722,1,1
-76.5662,3.4623,457.03,282.909,1.0858,1,noaf
-76.5662,3.4691,613.5891,115.0334,0.7751,1,noaf
-76.5662,3.4758,674.823,75.6119,0.6952,1,noaf
-76.5662,3.4825,753.8121,43.1713,0.6125,1,noaf
-76.5662,3.4893,837.306,23.8749,0.5432,1,noaf
-76.5662,3.496,857.9445,20.6656,0.5282,1,noaf
-76.5662,3.5028,808.7402,29.2035,0.5652,1,noaf
-76.5662,3.5095,739.6036,47.7776,0.626,1,noaf
-76.5662,3.5163,712.2131,58.068,0.6536,1,noaf
-76.5662,3.523,755.5629,42.6353,0.6109,1,noaf
-76.5595,3.3072,313.7561,447.5912,1.6696,1,noaf
-76.5595,3.3139,345.8925,417.3896,1.4934,1,noaf
-76.5595,3.3207,347.2722,415.9721,1.4866,1,noaf
-76.5595,3.3274,348.6131,414.5856,1.48,1,noaf
-76.5595,3.3342,340.0252,423.3107,1.5229,1,noaf
-76.5595,3.3409,334.5806,428.6475,1.5513,1,noaf
-76.5595,3.3476,322.6417,439.7988,1.6171,1,noaf
-76.5595,3.3544,800.0,31.0701,0.5722,1,2
-76.5595,3.3611,800.0,31.0701,0.5722,1,2
-76.5595,3.3679,302.5238,456.8067,1.7407,1,noaf
-76.5595,3.3746,800.0,31.0701,0.5722,1,2
-76.5595,3.3814,800.0,31.0701,0.5722,1,2
-76.5595,3.3881,800.0,31.0701,0.5722,1,2
-76.5595,3.3949,800.0,31.0701,0.5722,1,1
-76.5595,3.4016,800.0,31.0701,0.5722,1,1
-76.5595,3.4084,800.0,31.0701,0.5722,1,1
-76.5595,3.4151,800.0,31.0701,0.5722,1,3
-76.5595,3.4219,800.0,31.0701,0.5722,1,1
-76.5595,3.4286,800.0,31.0701,0.5722,1,2
-76.5595,3.4353,800.0,31.0701,0.5722,1,1
-76.5595,3.4421,789.1738,33.554,0.5812,1,noaf
-76.5595,3.4488,800.0,31.0701,0.5722,1,1
-76.5595,3.4556,800.0,31.0701,0.5722,1,1
-76.5595,3.4623,800.0,31.0701,0.5722,1,1
-76.5595,3.4691,410.5745,342.5342,1.2274,1,noaf
-76.5595,3.4758,342.2659,421.07,1.5115,1,noaf
-76.5595,3.4825,624.9551,106.5968,0.759,1,noaf
-76.5595,3.4893,389.0719,369.0372,1.3053,1,noaf
-76.5595,3.496,439.092,306.0691,1.1367,1,noaf
-76.5595,3.5028,513.3593,212.9542,0.9506,1,noaf
-76.5594,3.5095,823.9728,26.2232,0.5532,1,noaf
-76.5594,3.5163,486.1803,245.8761,1.0116,1,noaf
-76.5594,3.523,945.256,11.3852,0.4728,1,noaf
-76.5527,3.3072,306.3778,453.7253,1.7157,1,noaf
-76.5527,3.3139,329.865,433.1437,1.5767,1,noaf
-76.5527,3.3207,339.2641,424.0659,1.5268,1,noaf
-76.5527,3.3274,326.9225,435.889,1.5929,1,noaf
-76.5527,3.3342,321.0467,441.2298,1.6263,1,noaf
-76.5527,3.3409,328.3043,434.6056,1.5852,1,noaf
-76.5527,3.3476,800.0,31.0701,0.5722,1,4e
-76.5527,3.3544,800.0,31.0701,0.5722,1,2
-76.5527,3.3611,800.0,31.0701,0.5722,1,2
-76.5527,3.3679,800.0,31.0701,0.5722,1,2
-76.5527,3.3746,800.0,31.0701,0.5722,1,2
-76.5527,3.3814,800.0,31.0701,0.5722,1,2
-76.5527,3.3881,800.0,31.0701,0.5722,1,2
