#vs30_ref=800,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.1),SA(0.2),SA(0.3),SA(0.6),SA(1.0),SA(2.0),sigma_PGA,sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.6),sigma_SA(1.0),sigma_SA(2.0)
1,0.001,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.0016,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.0025,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.0039,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.0061,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.0096,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.0151,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.0237,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.0372,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.0584,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.0918,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.1443,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.2267,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.3562,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.5598,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,0.8796,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,1.3823,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,2.1721,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,3.4133,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,5.3636,1,1,1,1,1,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.001,1.6135,1.6619,1.9798,1.652,1.5591,1.3266,1.1419,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.0016,1.6218,1.6619,1.9822,1.6532,1.5599,1.3292,1.1448,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.0025,1.6307,1.657,1.9843,1.6563,1.561,1.3311,1.1467,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.0039,1.6393,1.6547,1.986,1.6579,1.5633,1.3355,1.1441,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.0061,1.6437,1.6517,1.9871,1.6599,1.5659,1.3401,1.1405,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.0096,1.6502,1.6486,1.9892,1.6625,1.5684,1.3399,1.1447,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.0151,1.6573,1.6463,1.9924,1.6671,1.5731,1.338,1.1466,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.0237,1.6672,1.6467,1.997,1.6728,1.5775,1.3481,1.1514,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.0372,1.6764,1.6471,2.0049,1.6809,1.5836,1.3566,1.1502,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.0584,1.6913,1.6474,2.0162,1.6908,1.5928,1.3742,1.1559,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.0918,1.7008,1.6481,2.0301,1.7043,1.6032,1.3977,1.1587,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.1443,1.708,1.6468,2.0479,1.7214,1.6151,1.4263,1.1699,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.2267,1.7155,1.6506,2.0672,1.7457,1.6212,1.4779,1.1918,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.3562,1.7165,1.6564,2.0869,1.783,1.6287,1.5574,1.2393,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.5598,1.7267,1.6614,2.099,1.8499,1.6486,1.6351,1.2841,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,0.8796,1.7275,1.6698,2.0913,1.9768,1.7145,1.6998,1.4163,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,1.3823,1.7208,1.6907,2.062,2.0833,1.7866,1.7921,1.4163,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,2.1721,1.7137,1.7101,2.0191,2.1517,1.8873,1.7921,1.4163,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,3.4133,1.7061,1.7246,1.9509,2.2003,1.8873,1.7921,1.4163,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2,5.3636,1.6985,1.7403,1.8855,2.2119,1.8873,1.7921,1.4163,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.001,1.3841,1.4683,1.6656,1.9994,1.665,1.6841,1.9092,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.0016,1.3931,1.4611,1.6642,1.9986,1.6659,1.6856,1.9106,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.0025,1.4044,1.454,1.6629,1.9979,1.6671,1.6869,1.9122,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.0039,1.4144,1.4477,1.6619,1.9973,1.669,1.6906,1.9146,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.0061,1.4143,1.4417,1.6613,1.9967,1.671,1.6951,1.9179,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.0096,1.4159,1.4336,1.6599,1.996,1.6732,1.6985,1.9215,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.0151,1.4176,1.4244,1.6578,1.9954,1.6774,1.704,1.9262,0.3,0.3,0.3,0.3,0.3,0.3,0.3
3,0.0237,1.4164,1.4167,1.6551,1.9944,1.682,1.7153,1.9279,0.3,0.3,0.3,0.3,0.3,0.3,0.3
