taxonomy,conversion,weight
COM/Y:1961 - 1985/H:1/E:1,CR_LFINF-DUL_H1,0.09
COM/Y:1961 - 1985/H:1/E:1,CR_LFM-DUL_H1,0.015
COM/Y:1961 - 1985/H:1/E:1,MCF_LWAL-DUL_H1,0.53
COM/Y:1961 - 1985/H:1/E:1,MR_LWAL-DUL_H1,0.005
COM/Y:1961 - 1985/H:1/E:1,MUR_LWAL-DNO_H1,0.34
COM/Y:1961 - 1985/H:1/E:1,S_LFBR-DUL_H1,0.01
COM/Y:1961 - 1985/H:1/E:1,S_LFM-DUL_H1,0.01
COM/Y:1961 - 1985/H:1/E:2,CR_LFINF-DUL_H1,0.09
COM/Y:1961 - 1985/H:1/E:2,CR_LFM-DUL_H1,0.015
COM/Y:1961 - 1985/H:1/E:2,MCF_LWAL-DUL_H1,0.53
COM/Y:1961 - 1985/H:1/E:2,MR_LWAL-DUL_H1,0.005
COM/Y:1961 - 1985/H:1/E:2,MUR_LWAL-DNO_H1,0.34
COM/Y:1961 - 1985/H:1/E:2,S_LFBR-DUL_H1,0.01
COM/Y:1961 - 1985/H:1/E:2,S_LFM-DUL_H1,0.01
COM/Y:1961 - 1985/H:1/E:3,CR_LFINF-DUL_H1,0.09
COM/Y:1961 - 1985/H:1/E:3,CR_LFM-DUL_H1,0.015
COM/Y:1961 - 1985/H:1/E:3,MCF_LWAL-DUL_H1,0.53
COM/Y:1961 - 1985/H:1/E:3,MR_LWAL-DUL_H1,0.005
COM/Y:1961 - 1985/H:1/E:3,MUR_LWAL-DNO_H1,0.34
COM/Y:1961 - 1985/H:1/E:3,S_LFBR-DUL_H1,0.01
COM/Y:1961 - 1985/H:1/E:3,S_LFM-DUL_H1,0.01
COM/Y:1961 - 1985/H:1/E:4,CR_LFINF-DUL_H1,0.09
COM/Y:1961 - 1985/H:1/E:4,CR_LFM-DUL_H1,0.015
COM/Y:1961 - 1985/H:1/E:4,MCF_LWAL-DUL_H1,0.53
COM/Y:1961 - 1985/H:1/E:4,MR_LWAL-DUL_H1,0.005
COM/Y:1961 - 1985/H:1/E:4,MUR_LWAL-DNO_H1,0.34
COM/Y:1961 - 1985/H:1/E:4,S_LFBR-DUL_H1,0.01
COM/Y:1961 - 1985/H:1/E:4,S_LFM-DUL_H1,0.01
COM/Y:1961 - 1985/H:1/E:5,CR_LFINF-DUL_H1,0.09
COM/Y:1961 - 1985/H:1/E:5,CR_LFM-DUL_H1,0.015
COM/Y:1961 - 1985/H:1/E:5,MCF_LWAL-DUL_H1,0.53
COM/Y:1961 - 1985/H:1/E:5,MR_LWAL-DUL_H1,0.005
COM/Y:1961 - 1985/H:1/E:5,MUR_LWAL-DNO_H1,0.34
COM/Y:1961 - 1985/H:1/E:5,S_LFBR-DUL_H1,0.01
COM/Y:1961 - 1985/H:1/E:5,S_LFM-DUL_H1,0.01
COM/Y:1961 - 1985/H:1/E:6,CR_LFINF-DUL_H1,0.09
COM/Y:1961 - 1985/H:1/E:6,CR_LFM-DUL_H1,0.015
COM/Y:1961 - 1985/H:1/E:6,MCF_LWAL-DUL_H1,0.53
COM/Y:1961 - 1985/H:1/E:6,MR_LWAL-DUL_H1,0.005
COM/Y:1961 - 1985/H:1/E:6,MUR_LWAL-DNO_H1,0.34
COM/Y:1961 - 1985/H:1/E:6,S_LFBR-DUL_H1,0.01
COM/Y:1961 - 1985/H:1/E:6,S_LFM-DUL_H1,0.01
COM/Y:1961 - 1985/H:2/E:1,CR_LFINF-DUL_H2,0.13
COM/Y:1961 - 1985/H:2/E:1,CR_LFM-DUL_H2,0.035
COM/Y:1961 - 1985/H:2/E:1,MCF_LWAL-DUL_H2,0.584
COM/Y:1961 - 1985/H:2/E:1,MR_LWAL-DUL_H2,0.001
COM/Y:1961 - 1985/H:2/E:1,MUR_LWAL-DNO_H2,0.24
COM/Y:1961 - 1985/H:2/E:1,S_LFBR-DUL_H2,0.005
COM/Y:1961 - 1985/H:2/E:1,S_LFM-DUL_H2,0.005
COM/Y:1961 - 1985/H:2/E:2,CR_LFINF-DUL_H2,0.13
COM/Y:1961 - 1985/H:2/E:2,CR_LFM-DUL_H2,0.035
COM/Y:1961 - 1985/H:2/E:2,MCF_LWAL-DUL_H2,0.584
COM/Y:1961 - 1985/H:2/E:2,MR_LWAL-DUL_H2,0.001
COM/Y:1961 - 1985/H:2/E:2,MUR_LWAL-DNO_H2,0.24
COM/Y:1961 - 1985/H:2/E:2,S_LFBR-DUL_H2,0.005
COM/Y:1961 - 1985/H:2/E:2,S_LFM-DUL_H2,0.005
COM/Y:1961 - 1985/H:2/E:3,CR_LFINF-DUL_H2,0.13
COM/Y:1961 - 1985/H:2/E:3,CR_LFM-DUL_H2,0.035
COM/Y:1961 - 1985/H:2/E:3,MCF_LWAL-DUL_H2,0.584
COM/Y:1961 - 1985/H:2/E:3,MR_LWAL-DUL_H2,0.001
COM/Y:1961 - 1985/H:2/E:3,MUR_LWAL-DNO_H2,0.24
COM/Y:1961 - 1985/H:2/E:3,S_LFBR-DUL_H2,0.005
COM/Y:1961 - 1985/H:2/E:3,S_LFM-DUL_H2,0.005
COM/Y:1961 - 1985/H:2/E:4,CR_LFINF-DUL_H2,0.13
COM/Y:1961 - 1985/H:2/E:4,CR_LFM-DUL_H2,0.035
COM/Y:1961 - 1985/H:2/E:4,MCF_LWAL-DUL_H2,0.584
COM/Y:1961 - 1985/H:2/E:4,MR_LWAL-DUL_H2,0.001
