#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gite09ae1ae50', start_date='2022-05-12T22:40:05', checksum=4015224999, investigation_time=None, risk_investigation_time=None"
loss_type,COMUNA,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,15,2.68070E+04,8.07221E+02,7.98702E+01,1.89504E+01,1.29356E+01,1.33011E+00,4.79733E-05,6.44490E-01,5.31599E-06,1.52190E+02,1.25532E-03,2.20799E+01,1.82123E-04,4.02324E+06,3.38852E-03
structural,16,1.34192E+04,4.60452E+02,4.55441E+01,1.07127E+01,7.11088E+00,7.61758E-01,5.46337E-05,6.68552E-01,7.13191E-06,1.36019E+02,1.45101E-03,1.93567E+01,2.06492E-04,4.67091E+06,3.79454E-03
structural,13,2.40932E+04,7.70197E+02,7.66893E+01,1.83025E+01,1.25848E+01,1.32994E+00,5.32592E-05,8.87200E-01,6.45631E-06,1.92588E+02,1.40150E-03,2.81248E+01,2.04669E-04,6.59199E+06,4.26776E-03
structural,14,2.54205E+04,7.40524E+02,7.70611E+01,1.90469E+01,1.38781E+01,1.44293E+00,5.49249E-05,8.60019E-01,5.81585E-06,2.01931E+02,1.36555E-03,3.02702E+01,2.04701E-04,4.10253E+06,3.46578E-03
structural,12,9.68787E+03,2.83285E+02,2.67220E+01,6.12841E+00,3.99593E+00,4.35128E-01,4.34780E-05,3.52717E-01,5.32307E-06,7.52094E+01,1.13503E-03,1.05866E+01,1.59768E-04,2.71860E+06,3.10267E-03
structural,11,1.38392E+04,4.54034E+02,4.44405E+01,1.04113E+01,6.91302E+00,7.66197E-01,5.33749E-05,6.68800E-01,6.76745E-06,1.34494E+02,1.36091E-03,1.91442E+01,1.93716E-04,4.99402E+06,3.36087E-03
structural,4,1.08562E+04,3.22937E+02,3.08939E+01,7.22220E+00,4.76689E+00,5.24857E-01,4.67703E-05,3.32091E-01,6.33205E-06,6.77470E+01,1.29175E-03,9.55165E+00,1.82123E-04,1.01689E+07,3.65561E-03
structural,6,2.24073E+04,7.21982E+02,6.78427E+01,1.56344E+01,1.02170E+01,1.13408E+00,4.88345E-05,1.10962E+00,7.60245E-06,2.06054E+02,1.41177E-03,2.88851E+01,1.97904E-04,5.26761E+06,3.55602E-03
structural,5,1.41477E+04,4.93686E+02,4.47748E+01,9.88140E+00,5.98564E+00,6.75412E-01,4.59401E-05,9.71599E-01,8.92735E-06,1.73451E+02,1.59372E-03,2.25399E+01,2.07104E-04,7.75812E+06,4.00212E-03
structural,2,1.87225E+04,3.71380E+02,2.92282E+01,6.20076E+00,3.67218E+00,3.93031E-01,2.05421E-05,4.17461E-01,3.79513E-06,8.45084E+01,7.68265E-04,1.11098E+01,1.00999E-04,1.29050E+07,1.50361E-03
structural,21,2.20619E+04,7.14223E+02,7.05882E+01,1.67824E+01,1.15016E+01,1.19535E+00,5.22556E-05,7.37692E-01,5.87077E-06,1.65751E+02,1.31909E-03,2.41382E+01,1.92099E-04,2.54135E+06,3.26610E-03
structural,7,1.25494E+04,3.48901E+02,3.35457E+01,7.88522E+00,5.30618E+00,5.68535E-01,4.39192E-05,3.47300E-01,5.10443E-06,7.68526E+01,1.12954E-03,1.09595E+01,1.61076E-04,4.28532E+06,2.98080E-03
structural,8,1.76557E+04,5.37367E+02,4.90797E+01,1.10101E+01,6.89053E+00,7.67540E-01,4.20339E-05,5.55820E-01,5.86741E-06,1.12471E+02,1.18728E-03,1.53940E+01,1.62503E-04,8.30954E+06,3.12241E-03
structural,17,1.60643E+04,5.52767E+02,4.67310E+01,1.01325E+01,6.02362E+00,6.32242E-01,3.79042E-05,1.19512E+00,7.47378E-06,2.35598E+02,1.47332E-03,3.08502E+01,1.92923E-04,3.36244E+07,4.24670E-03
structural,10,1.48999E+04,4.72947E+02,4.50687E+01,1.04007E+01,6.70258E+00,7.29456E-01,4.72598E-05,7.16324E-01,7.25443E-06,1.40121E+02,1.41905E-03,1.92007E+01,1.94451E-04,7.84234E+06,3.72605E-03
structural,9,1.10920E+04,2.71187E+02,2.45952E+01,5.57926E+00,3.60641E+00,3.99999E-01,3.50969E-05,1.65066E-01,4.69124E-06,3.54930E+01,1.00872E-03,4.99071E+00,1.41838E-04,4.08484E+06,2.67821E-03
structural,22,5.94499E+03,1.49096E+02,1.11301E+01,2.36470E+00,1.41555E+00,1.59889E-01,2.61726E-05,9.82161E-02,4.15800E-06,1.78516E+01,7.55752E-04,2.40299E+00,1.01731E-04,8.36063E+06,2.40931E-03
structural,19,1.80130E+04,4.49945E+02,3.33791E+01,6.81414E+00,3.82695E+00,4.24436E-01,2.29338E-05,3.95823E-01,3.85529E-06,7.64481E+01,7.44600E-04,9.84379E+00,9.58780E-05,2.22018E+07,2.30990E-03
structural,3,9.33791E+03,1.90073E+02,1.51873E+01,3.10724E+00,1.72298E+00,1.92598E-01,2.01716E-05,8.26269E-02,2.61254E-06,1.90064E+01,6.00954E-04,2.41732E+00,7.64321E-05,8.44979E+06,2.24418E-03
structural,18,1.44591E+04,2.57444E+02,2.07087E+01,4.28287E+00,2.44332E+00,2.56230E-01,1.73786E-05,2.24626E-01,2.07096E-06,5.46194E+01,5.03567E-04,6.88000E+00,6.34306E-05,3.03773E+06,1.72355E-03
structural,1,7.70893E+03,1.25182E+02,9.81693E+00,1.98098E+00,1.08822E+00,1.16792E-01,1.48836E-05,1.01303E-01,1.74793E-06,2.40647E+01,4.15224E-04,3.06288E+00,5.28484E-05,8.85950E+05,1.31575E-03
structural,20,8.71581E+03,8.51328E+01,6.17340E+00,1.21740E+00,6.66116E-01,6.88851E-02,7.81986E-06,4.55723E-02,8.14882E-07,1.32632E+01,2.37160E-04,1.69971E+00,3.03926E-05,4.49874E+05,9.77449E-04
