#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gite09ae1ae50', start_date='2022-05-12T22:40:05', checksum=4015224999"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
0,1.01849E+04,1.44712E+03,4.18166E+02,3.41049E+02,3.66869E+01,2.18064E+01,4.44525E+03,6.90031E+02,1.61047E+08,structural
1,8.19276E+03,4.99291E+02,8.31814E+01,3.61678E+01,3.89893E+00,4.36614E+00,1.02242E+03,1.17724E+02,1.05941E+08,structural
2,9.80599E+03,9.09559E+02,2.04070E+02,1.27341E+02,1.35778E+01,1.20717E+01,2.48913E+03,3.57033E+02,1.52249E+08,structural
3,7.53503E+03,5.67585E+02,1.08879E+02,5.45156E+01,5.96823E+00,6.50511E+00,1.34797E+03,1.74072E+02,1.54006E+08,structural
4,9.88199E+03,7.52084E+02,1.42130E+02,6.92310E+01,7.43294E+00,5.92528E+00,1.39053E+03,1.66764E+02,1.30954E+08,structural
5,9.31817E+03,7.99985E+02,1.78074E+02,1.10434E+02,1.19898E+01,1.21812E+01,2.34601E+03,3.30004E+02,1.76830E+08,structural
6,7.36893E+03,4.89151E+02,9.24900E+01,4.51674E+01,4.88463E+00,5.30364E+00,1.16690E+03,1.45904E+02,1.40198E+08,structural
7,6.49391E+03,4.36072E+02,9.33220E+01,5.86414E+01,6.52518E+00,8.54001E+00,1.51904E+03,2.17540E+02,1.03861E+08,structural
8,8.33784E+03,7.67717E+02,1.93799E+02,1.46362E+02,1.54167E+01,1.05707E+01,2.15269E+03,3.18762E+02,1.15342E+08,structural
9,6.95067E+03,3.67403E+02,5.70011E+01,2.38357E+01,2.58241E+00,4.33947E+00,9.66618E+02,1.14856E+02,1.31065E+08,structural
10,8.83316E+03,1.07260E+03,2.96442E+02,2.25515E+02,2.42025E+01,1.49114E+01,2.93583E+03,4.40503E+02,1.94833E+08,structural
11,9.07834E+03,7.65745E+02,1.59971E+02,8.64794E+01,9.16138E+00,1.47113E+01,2.95579E+03,4.05186E+02,1.79325E+08,structural
12,1.01410E+04,7.72868E+02,1.48723E+02,7.72655E+01,8.39605E+00,6.05875E+00,1.39694E+03,1.74685E+02,1.47048E+08,structural
13,8.08222E+03,5.78738E+02,1.09811E+02,5.74064E+01,6.36950E+00,9.01170E+00,1.51030E+03,2.17392E+02,1.16408E+08,structural
14,8.37322E+03,7.47808E+02,1.57777E+02,8.75543E+01,9.34653E+00,6.77965E+00,1.67130E+03,2.09875E+02,1.52055E+08,structural
15,9.09341E+03,5.39730E+02,9.29816E+01,4.37840E+01,4.75240E+00,3.53385E+00,8.91325E+02,1.02405E+02,1.25369E+08,structural
16,8.53553E+03,5.84785E+02,1.05450E+02,5.01321E+01,5.46783E+00,5.33596E+00,1.26740E+03,1.50974E+02,1.42003E+08,structural
17,5.63603E+03,3.32517E+02,5.39481E+01,2.22098E+01,2.38113E+00,3.05742E+00,7.86435E+02,8.02876E+01,1.34369E+08,structural
18,7.87425E+03,6.99501E+02,1.61156E+02,1.04027E+02,1.12034E+01,1.11881E+01,2.12653E+03,3.03359E+02,1.70635E+08,structural
19,1.23047E+04,1.36549E+03,3.66372E+02,3.10969E+02,3.19573E+01,1.86527E+01,4.17693E+03,6.57717E+02,1.62293E+08,structural
20,8.65463E+03,6.99785E+02,1.34882E+02,6.66184E+01,7.09260E+00,5.61456E+00,1.50049E+03,1.73878E+02,1.30856E+08,structural
21,1.06290E+04,8.74068E+02,1.80482E+02,1.00489E+02,1.07319E+01,1.08712E+01,2.12549E+03,3.00966E+02,2.01009E+08,structural
22,1.23865E+04,1.50710E+03,3.74673E+02,2.48363E+02,2.66987E+01,1.65188E+01,3.62368E+03,5.00386E+02,1.97362E+08,structural
23,7.05344E+03,6.04110E+02,1.36031E+02,8.06261E+01,8.64314E+00,7.02824E+00,1.52012E+03,2.01323E+02,1.08992E+08,structural
24,1.21793E+04,1.23950E+03,2.77371E+02,1.63984E+02,1.78041E+01,1.12748E+01,2.67099E+03,3.50524E+02,2.15849E+08,structural
25,1.03248E+04,1.41369E+03,4.39925E+02,4.22253E+02,4.45171E+01,2.66876E+01,5.07907E+03,8.52790E+02,1.72040E+08,structural
26,7.68969E+03,5.27036E+02,9.78900E+01,4.77507E+01,5.16264E+00,6.07012E+00,1.35670E+03,1.65635E+02,1.28222E+08,structural
27,9.98160E+03,1.02631E+03,2.56625E+02,1.86494E+02,2.02083E+01,1.81902E+01,3.29362E+03,5.01453E+02,1.80521E+08,structural
28,1.13294E+04,1.21768E+03,2.97373E+02,2.00660E+02,2.07060E+01,1.05641E+01,2.66768E+03,3.70282E+02,1.58096E+08,structural
29,8.75281E+03,8.61453E+02,2.00557E+02,1.25948E+02,1.37441E+01,1.05210E+01,2.17178E+03,2.99504E+02,1.57519E+08,structural
30,8.05239E+03,8.21424E+02,1.84881E+02,1.09556E+02,1.20332E+01,8.68823E+00,1.80925E+03,2.42923E+02,1.81905E+08,structural
31,9.40995E+03,1.07264E+03,2.87758E+02,2.21585E+02,2.34661E+01,1.48859E+01,3.03516E+03,4.56566E+02,1.45632E+08,structural
32,9.64965E+03,7.76932E+02,1.54374E+02,8.11556E+01,8.75277E+00,1.36114E+01,2.65907E+03,3.61142E+02,2.05665E+08,structural
33,1.02115E+04,1.02116E+03,2.61642E+02,1.97424E+02,2.12306E+01,1.49922E+01,3.02568E+03,4.31078E+02,1.97472E+08,structural
34,1.19055E+04,9.84354E+02,1.98442E+02,1.10082E+02,1.20170E+01,9.25840E+00,2.09474E+03,2.62167E+02,2.10671E+08,structural
35,9.43086E+03,7.24377E+02,1.54465E+02,9.08382E+01,9.88750E+00,7.80968E+00,1.65581E+03,2.21828E+02,1.10641E+08,structural
36,9.82970E+03,1.10374E+03,2.89101E+02,2.15260E+02,2.26653E+01,1.15182E+01,2.48285E+03,3.60970E+02,1.74595E+08,structural
37,8.94511E+03,1.25288E+03,4.06394E+02,3.96636E+02,4.23832E+01,2.58879E+01,4.61194E+03,7.84304E+02,1.74303E+08,structural
38,1.16883E+04,1.45751E+03,4.60465E+02,4.86971E+02,5.07885E+01,2.77645E+01,5.59812E+03,9.91713E+02,1.82743E+08,structural
39,1.05976E+04,1.11364E+03,2.86222E+02,2.14296E+02,2.27127E+01,1.07660E+01,2.29380E+03,3.27680E+02,2.38065E+08,structural
40,1.01593E+04,7.44254E+02,1.34422E+02,6.24061E+01,6.71727E+00,5.81513E+00,1.40193E+03,1.66447E+02,1.39910E+08,structural
41,8.38101E+03,7.00007E+02,1.49463E+02,8.43816E+01,9.17699E+00,9.82779E+00,1.98247E+03,2.57581E+02,1.67687E+08,structural
42,7.38741E+03,6.94889E+02,1.63414E+02,1.02952E+02,1.08215E+01,9.06159E+00,1.98066E+03,2.59316E+02,1.47724E+08,structural
43,7.69178E+03,6.04437E+02,1.34504E+02,8.73687E+01,9.46043E+00,8.30007E+00,1.79515E+03,2.45629E+02,1.26536E+08,structural
44,9.60816E+03,1.13448E+03,2.88164E+02,1.98979E+02,2.10425E+01,1.53725E+01,3.19468E+03,4.56054E+02,1.49808E+08,structural
45,1.20409E+04,1.11739E+03,2.27509E+02,1.18816E+02,1.27440E+01,8.79597E+00,2.15373E+03,2.67950E+02,1.72947E+08,structural
46,1.10276E+04,1.33514E+03,4.04498E+02,3.83942E+02,3.95207E+01,2.06194E+01,4.35515E+03,7.29884E+02,1.66180E+08,structural
