NM_ZONA,ID_ZONA,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
ELOY ALFARO,1.0,50568.0,7956402238,428770.0,31152.9080711,13995.25995433,2735.758488173,1037.9441743679,1646.129653038,192.41359498897,243.406131887728,564702837,23630.9251444546,5007.00879020238,7.097464665608559,0.380504657073584,56.76846138669403,5511.328951291975,1167.760988455904
LA DELICIA,2.0,44628.0,7771897362,337268.6,28727.6522,11417.578742798,2226.127669899,853.6977615383,1402.9436164062,163.38153011335,188.364368111831,557110712,18548.4433550043,3979.79653671451,7.168271610727992,0.366096464357242,55.84995701106804,5499.605760810316,1180.008022304629
AEROPUERTO,3.0,6227.0,1307419419,69220.1,4318.4945537,1311.34835329,277.4282811154,112.21060769367,207.51818161991,22.609852694659,25.0237005609909,88116776,3729.033149102,842.63440664263,6.739748126284571,0.363093828403067,36.15091651267608,5387.211444511059,1217.3261908645463
CENTRO,4.0,24490.0,4881306790,219732.8,14580.4567547,6762.059055915,1490.433636777,600.6801643994,1056.3704410092,123.77944939313,147.385116162589,428828526,14836.1531524204,3316.22105982804,8.785117280938422,0.505428539784116,67.07469989122653,6751.906475692477,1509.2062085533157
CHILLOS,5.0,23482.0,4951012813,147034.4,15973.1905477,5447.31690965,1024.7106667829,390.76353221574,646.01841539126,74.111780128652,59.6811646838718,301733862,6596.57336506804,1414.80099438554,6.094386602152987,0.315611021755609,40.58993316113223,4486.414992048147,962.2244824242083
NORCENTRAL,6.0,1561.0,172740642,8643.2,1071.0860079,316.30655598,74.748495556,32.1288956934,66.7300438606,6.87163983128,3.448776457385,12886322,542.5076551917,128.3400844299,7.459924597153071,0.44020754844843,39.90161580647214,6276.699083576684,1484.867692867225
NORTE,7.0,47022.0,14695707103,391841.8,28221.2536631,13183.864464086,2773.415498169,1083.7974829903,1759.6689473846,208.97989192104,268.960698668264,1146210996,24460.8002992242,5266.35134632817,7.799631471317496,0.444430036836034,68.64012432268942,6242.51937879629,1343.9993758522367
QUITUMBE,8.0,51627.0,6343312878,319111.3,36587.6730827,11221.875136192,1979.9591566562,728.2837098745,1109.20894856773,128.348238453462,132.566438955014,361911607,13225.164350059,2745.74922070842,5.705403687359754,0.248606811268255,41.54238316067592,4144.373561844724,860.4362241977706
TUMBACO,9.0,12695.0,3557048499,88464.3,8149.8657335,3283.82222588,627.0829171466,239.527837328,394.7012821661,45.7920058196,37.793736367159,223479972,4187.0285260157,895.72463503651,6.282736140423932,0.360708986369437,42.72202048414897,4733.01492920387,1012.526674643342
NOROCCIDENTE,10.0,633.0,48090042,4494.6,374.9211416,140.30258327,45.13193464,21.744294119,50.900045403,3.9081087294,2.44320963896,5831446,434.326719874,104.80547371920001,12.126098979075795,0.617394743981043,54.35877806612379,9663.300847105415,2331.8086975303695
CALDERON,11.0,23947.0,3772812761,158465.7,15620.4115229,5828.44462905,1198.673585074,473.9846361105,825.4854556225,94.89779906655,94.856128563055,271453822,9286.8210602023,2022.20827301718,7.194998509474969,0.3962826202303,59.85909162869629,5860.461323934643,1276.1173383370533
