#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-git0887e53562', start_date='2022-05-13T17:39:17', checksum=949654607, investigation_time=None, risk_investigation_time=None"
loss_type,nm_parroquia,no_damage,slight,moderate,extensive,complete,collapsed_value,collapsed_ratio,fatalities_value,fatalities_ratio,homeless_value,homeless_ratio,injured_value,injured_ratio,losses_value,losses_ratio
structural,CALACALI,9.60735E+01,1.08072E+01,1.33727E+00,3.93981E-01,3.88098E-01,3.94410E-02,3.61844E-04,7.69245E-02,2.53826E-05,2.89990E+01,9.56874E-03,5.50271E+00,1.81572E-03,4.21100E+05,1.00703E-02
structural,NAYON,3.01303E+03,1.14351E+02,2.99228E+00,4.36816E-01,1.94487E-01,2.22414E-02,7.10362E-06,1.70234E-02,6.93939E-07,4.03332E+00,1.64414E-04,4.15303E-01,1.69294E-05,1.82545E+06,2.31246E-03
structural,LLOA,1.86116E+02,6.99824E+00,6.07677E-01,1.55158E-01,1.23097E-01,1.24776E-02,6.43176E-05,2.83262E-03,3.56260E-06,9.75643E-01,1.22707E-03,1.47539E-01,1.85560E-04,4.21005E+04,4.60285E-03
structural,QUITUMBE,1.04177E+04,8.81935E+02,4.09668E+01,7.40730E+00,3.94540E+00,4.61799E-01,4.06800E-05,8.78180E-01,1.09818E-05,1.35363E+02,1.69274E-03,1.69122E+01,2.11490E-04,1.33330E+07,7.38170E-03
structural,LA ECUATORIANA,9.41025E+03,9.36919E+02,5.01558E+01,9.84631E+00,5.82809E+00,6.71926E-01,6.45276E-05,6.16913E-01,1.00828E-05,1.05415E+02,1.72290E-03,1.33678E+01,2.18484E-04,9.17712E+06,8.36337E-03
structural,ALANGASI,2.97051E+03,3.26997E+02,1.76110E+01,3.60233E+00,2.27905E+00,2.58324E-01,7.77851E-05,1.65916E-01,7.82002E-06,3.43924E+01,1.62100E-03,4.62616E+00,2.18042E-04,6.80528E+06,7.91242E-03
structural,PINTAG,9.73850E+02,6.50103E+01,6.23080E+00,1.61388E+00,1.29457E+00,1.35869E-01,1.29646E-04,8.36687E-02,8.52953E-06,2.15146E+01,2.19329E-03,3.35170E+00,3.41686E-04,8.45353E+05,6.94091E-03
structural,LA MERCED,1.40773E+03,1.20498E+02,9.03228E+00,2.14878E+00,1.59383E+00,1.71055E-01,1.11002E-04,6.74531E-02,8.84341E-06,1.69786E+01,2.22597E-03,2.58234E+00,3.38557E-04,1.83618E+06,7.78301E-03
structural,GUANGOPOLO,2.87040E+01,2.14734E+00,1.13399E-01,2.22324E-02,1.30028E-02,1.44903E-03,4.67430E-05,7.80758E-03,3.94581E-06,1.70756E+00,8.62969E-04,2.13374E-01,1.07836E-04,2.02262E+04,5.33243E-03
structural,CUMBAYA,5.32484E+03,3.80434E+02,1.27343E+01,2.02937E+00,9.58644E-01,1.13457E-01,1.98317E-05,7.62847E-02,2.33050E-06,1.55284E+01,4.74393E-04,1.72108E+00,5.25790E-05,7.35017E+06,4.06988E-03
structural,TUMBACO,6.46492E+03,4.77416E+02,2.39728E+01,4.77767E+00,2.91258E+00,3.20345E-01,4.59342E-05,2.02407E-01,3.63186E-06,5.04435E+01,9.05124E-04,6.75578E+00,1.21221E-04,8.86385E+06,5.06200E-03
structural,CONOCOTO,1.26002E+04,1.03330E+03,4.59682E+01,8.57490E+00,4.91434E+00,5.59245E-01,4.08416E-05,3.80069E-01,4.52344E-06,7.55450E+01,8.99109E-04,9.38577E+00,1.11706E-04,1.73618E+07,5.65180E-03
structural,PIFO,1.24304E+03,1.00564E+02,6.83494E+00,1.52764E+00,1.03386E+00,1.09965E-01,8.12750E-05,8.70318E-02,5.18046E-06,3.74309E+01,2.22803E-03,5.79302E+00,3.44823E-04,2.33086E+06,6.95701E-03
structural,NANEGALITO,6.84211E+01,1.52568E+01,2.53148E+00,8.50874E-01,9.39785E-01,8.11678E-02,9.22361E-04,6.43736E-02,4.60601E-05,1.39546E+01,9.98472E-03,2.43123E+00,1.73958E-03,3.69731E+05,2.97005E-02
structural,NANEGAL,6.59026E+01,1.31310E+01,2.33911E+00,7.80096E-01,8.47188E-01,8.06444E-02,9.71619E-04,1.12855E-01,1.00620E-04,2.55043E+01,2.27392E-02,4.88281E+00,4.35343E-03,3.66455E+05,3.28318E-02
structural,NONO,9.25453E+01,1.16980E+01,1.72552E+00,5.23558E-01,5.07637E-01,5.02779E-02,4.69887E-04,1.46031E-02,1.08075E-05,8.14804E+00,6.03022E-03,1.46233E+00,1.08224E-03,2.36897E+05,9.58661E-03
structural,SAN ANTONIO,3.03352E+03,3.77308E+02,2.59506E+01,5.92586E+00,4.29883E+00,4.80235E-01,1.39320E-04,5.02095E-01,1.56953E-05,8.95124E+01,2.79813E-03,1.27285E+01,3.97887E-04,8.11370E+06,1.02257E-02
structural,CALDERON,2.02523E+04,1.81837E+03,9.52140E+01,1.84456E+01,1.07199E+01,1.21461E+00,5.47245E-05,1.06746E+00,7.09986E-06,1.97212E+02,1.31169E-03,2.47172E+01,1.64398E-04,2.26501E+07,6.30736E-03
structural,LLANO CHICO,1.68023E+03,6.72229E+01,3.42434E+00,6.95254E-01,4.28171E-01,4.48642E-02,2.56074E-05,1.47540E-02,1.81791E-06,4.17315E+00,5.14195E-04,5.54891E-01,6.83708E-05,5.88956E+05,3.24036E-03
structural,ZAMBIZA,4.43370E+02,1.68148E+01,6.40242E-01,1.13896E-01,6.06270E-02,6.46133E-03,1.40159E-05,2.76603E-03,9.36144E-07,8.25236E-01,2.79296E-04,1.00688E-01,3.40773E-05,1.50744E+05,2.60267E-03
