NM_ZONA,ID_ZONA,number,rc_usd,night,fatalities,collapsed,losses,col_dry,col_wet,loss_dry,loss_wet,str_lr,col_lr,occ_lr,dryl_total,str_lr_dry,dryc_total,col_lr_dry,wetl_total,str_lr_wet,wetc_total,col_lr_wet
ELOY ALFARO,1.0,50568.0,7956402238,428770.0,566.0,80.0,12401928,6946.874191237,8393.0,75970993.6410238,124037758.0,0.155873572364032,0.158202816010125,132.00550411642604,88372922.0,1.110714609413683,7026.874191237,13.895891060032033,136439686.0,1.714841484854005,8473.0,16.755666989902526
LA DELICIA,2.0,44628.0,7771897362,337268.6,0.0,0.0,0,0.059927652,40.0,673.212672,453704.0,0.0,0.0,0.0,673.0,8.662140538e-06,0.059927652,0.000134282629739,453704.0,0.005837747489543,40.0,0.090421105256789
AEROPUERTO,3.0,6227.0,1307419419,69220.1,0.0,0.0,0,0.008723295,6.0,426.9195921,287449.0,0.0,0.0,0.0,427.0,3.2653606483e-05,0.008723295,0.000140088244741,287449.0,0.021985984088985,6.0,0.094331560253734
CENTRO,4.0,24490.0,4881306790,219732.8,0.0,0.0,0,0.200331162,135.0,3330.9042088,2244243.0,0.0,0.0,0.0,3331.0,6.8237960698e-05,0.200331162,0.000818012094733,2244243.0,0.045976269487953,135.0,0.550731942082483
CHILLOS,5.0,23482.0,4951012813,147034.4,0.0,0.0,0,2260.292514993,3658.0,44629779.779757,134221896.0,0.0,0.0,0.0,44629780.0,0.901427272916565,2260.292514993,9.625638851005027,134221896.0,2.71099875561714,3658.0,15.578815534223361
NORCENTRAL,6.0,1561.0,172740642,8643.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTE,7.0,47022.0,14695707103,391841.8,0.0,0.0,0,0.265825107,179.0,5498.2094488,3711765.0,0.0,0.0,0.0,5498.0,3.7413711435e-05,0.265825107,0.000565320715835,3711765.0,0.025257477846503,179.0,0.380831137433542
QUITUMBE,8.0,51627.0,6343312878,319111.3,5487.0,775.0,94537457,10625.598429399999,21309.0,199394563.2107,997642907.0,1.490348322969155,1.501152497724059,1719.462770512984,293932020.0,4.633730449017833,11400.598429399999,22.082628139151993,1092180364.0,17.217822684763878,22084.0,42.77635701125104
TUMBACO,9.0,12695.0,3557048499,88464.3,0.0,0.0,0,0.065549331,44.0,1284.9522491,872022.0,0.0,0.0,0.0,1285.0,3.612411384e-05,0.065549331,0.000516339747932,872022.0,0.024515329404299,44.0,0.348430403591965
NOROCCIDENTE,10.0,633.0,48090042,4494.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALDERON,11.0,23947.0,3772812761,158465.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
