NM_BARR,ID_BARR,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
CIENFUEGOS,125010101001.0,16591.022584080496,218404219,65178.0,8095.984745,4952.525097,1751.5225494,748.4230674,1042.5655196,74.399991875,21.5333895684,26560454,7035.917277,1454.7586668,12.161144952668792,0.448435239587876,33.037818847463875,10794.926627082757,2231.978070514591
MONTE RICO,125010101002.0,5169.0,405205784,49196.7,2471.2320364,1817.1357688,490.49597577,180.27487492,209.86119254,30.1800982962,27.654191193469998,39131878,3671.747244,695.80488137,9.657285156853272,0.583867252780035,56.21147595970868,7463.401496441835,1414.332427520545
LOS SALADOS,125010101003.0,1840.0,152783732,16336.350000000002,948.9613137,619.15271208,155.6190632,55.054206359,61.212640672999996,8.852970408,7.4671903444,12763089,1025.89960509,189.53866323,8.353696347014154,0.481139696086956,45.7090497228573,6279.858138996776,1160.226508553012
ENSANCHE LIBERTAD,125010101004.0,2760.0,453407722,17716.050000000003,1346.1236207,974.99708483,252.33958076000002,89.577722478,96.962077076,13.3595996121,7.3841670725,38015041,1168.59470457,214.22236563,8.384294894835222,0.484043464206522,41.68066285938456,6596.248625229663,1209.199373618837
ALTOS DE VIREYA,125010101005.0,1477.0,530659938,6777.0,756.0561961,512.670012,123.71876594,41.977601818,42.577372555,4.41922840715,1.5400478838,39796756,380.33746516,65.337976847,7.499483744911356,0.299203006577522,22.72462570163789,5612.1803919138265,964.1135730706801
ENSANCHE BERMÚDEZ,125010101007.0,1510.0,126731085,9898.200000000003,816.0631195,488.72926872,118.56242151,41.476190727,45.169016196,6.2322125792,3.88770903671,9199852,569.4796681,106.79287905,7.259348920920354,0.412729309880795,39.27692950950677,5753.365946333676,1078.9121158392431
LA OTRA BANDA,125010101008.0,2708.0,340382584,19035.231621164512,1521.9452296,844.8490211,197.41831917000002,68.552996626,75.234412229,9.952774154,6.72919077578,22100328,937.75136971,173.734095495,6.492790588033678,0.36753228042836,35.35124189557054,4926.398524446384,912.6975649817258
BARACOA,125010101009.0,1073.0,263366544,5710.500000000001,602.5908277999999,338.56021965,78.512311365,26.47161735,26.865036106999998,3.77099563554,1.71985464074,14696887,258.42300562,45.268871929,5.580392485953496,0.351444141243243,30.117408996410113,4525.400676298047,792.7304426757726
LA JOYA,125010101010.0,2007.0,302060875,9605.917051734727,587.6327171,827.619407,296.3697759,124.43899320999999,170.93917099,20.34005609,11.6122067667,52239766,1416.4225075,299.48790613,17.294449614276786,1.013455709516692,120.8859779254804,14745.312705403896,3117.7440375244096
BELLA  VISTA,125010101011.0,3794.0,429743685,23005.34426006395,2270.5834942,1110.01131108,244.354703312,82.092623465,86.957816607,11.17374386545,6.7602676266,22650967,986.45638611,179.702583221,5.270808597574781,0.294510908419873,29.385639919918365,4287.944466114492,781.1340755850114
PERALTA,125010101012.0,2863.0,423721701,8959.95,1866.5822194,746.63787131,152.42536975,48.996449116,48.358037007,5.92682178058,1.50098953201,20584174,293.34419275,51.007843058,4.857946629677437,0.207014382835487,16.752208795919618,3273.9489924608947,569.2871395264482
LA YAGÜITA DE PASTOR,125010101013.0,2820.0,332892170,17275.369064893974,1750.176591,782.93399299,165.014282111,56.306443498,65.5687595985,7.85527800236,3.22412159646,14164799,589.87096458,107.948767992,4.255071215940222,0.278555957530496,18.663112691536515,3414.520189781082,624.8709801017645
LOS JAZMINES,125010101014.0,3368.0,222887660,27999.000000000004,2344.2995916,797.39068034,143.05053273000001,43.331003679,39.9281495126,5.40344845011,4.02425042306,8544342,660.41041962,110.933850314,3.83347467915592,0.160434930228919,14.372836255080536,2358.692880531447,396.2064727811707
